10 & 	 & 6.101824e-09 & 	 & -8.230467e-08 \ \  
20 & 	 & 3.816787e-10 & 	 & -5.144042e-09 \ \  
40 & 	 & 2.386025e-11 & 	 & -3.215026e-10 \ \  
80 & 	 & 1.491696e-12 & 	 & -2.009391e-11 \ \  
160 & 	 & 9.336976e-14 & 	 & -1.255870e-12 \ \  
320 & 	 & 6.217249e-15 & 	 & -7.849185e-14 \ \  
640 & 	 & 2.220446e-16 & 	 & -4.905740e-15 \ \  
1280 & 	 & 1.443290e-15 & 	 & -3.066088e-16 \ \  
2560 & 	 & -6.661338e-16 & 	 & -1.916305e-17 \ \  
5120 & 	 & -2.664535e-15 & 	 & -1.197691e-18 \ \  
10240 & 	 & -1.443290e-15 & 	 & -7.485566e-20 \ \  
20480 & 	 & -2.220446e-15 & 	 & -4.678479e-21 \ \  
40960 & 	 & -2.220446e-15 & 	 & -2.924049e-22 \ \  
81920 & 	 & 3.108624e-15 & 	 & -1.827531e-23 \ \  
