10 &	 & 1.388645e-04 & 	 & 4.166667e-04 \\ 
20 &	 & 3.472070e-05 & 	 & 1.041667e-04 \\ 
40 &	 & 8.680460e-06 & 	 & 2.604167e-05 \\ 
80 &	 & 2.170133e-06 & 	 & 6.510417e-06 \\ 
160 &	 & 5.425343e-07 & 	 & 1.627604e-06 \\ 
320 &	 & 1.356337e-07 & 	 & 4.069010e-07 \\ 
640 &	 & 3.390842e-08 & 	 & 1.017253e-07 \\ 
1280 &	 & 8.477104e-09 & 	 & 2.543132e-08 \\ 
2560 &	 & 2.119278e-09 & 	 & 6.357829e-09 \\ 
5120 &	 & 5.298200e-10 & 	 & 1.589457e-09 \\ 
10240 &	 & 1.324560e-10 & 	 & 3.973643e-10 \\ 
20480 &	 & 3.310918e-11 & 	 & 9.934107e-11 \\ 
40960 &	 & 8.281043e-12 & 	 & 2.483527e-11 \\ 
81920 &	 & 2.071121e-12 & 	 & 6.208817e-12 \\ 
