# N 	 NTFlat 	 NT Gauss 	 NT root	Dev Flat	Dev Gauss	 Dev Root 
1000 	 0.402414 	 0.509921 	 0.520847 	 0.104340 	 0.022047 	 0.009579 
1000 	 0.819771 	 0.639290 	 0.761542 	 0.179972 	 0.067991 	 0.016210 
2000 	 0.478750 	 0.500909 	 0.503343 	 0.084707 	 0.014796 	 0.006932 
2000 	 0.734319 	 0.679399 	 0.735870 	 0.125087 	 0.051110 	 0.011648 
4000 	 0.559025 	 0.516745 	 0.493403 	 0.064638 	 0.011425 	 0.004977 
4000 	 0.710013 	 0.771816 	 0.742201 	 0.088489 	 0.037014 	 0.008276 
8000 	 0.529128 	 0.508603 	 0.496762 	 0.044342 	 0.007924 	 0.003501 
8000 	 0.824491 	 0.719916 	 0.741778 	 0.067148 	 0.025034 	 0.005834 
16000 	 0.528902 	 0.497904 	 0.500056 	 0.031315 	 0.005539 	 0.002465 
16000 	 0.788585 	 0.748977 	 0.748735 	 0.045910 	 0.018134 	 0.004106 
32000 	 0.527839 	 0.500956 	 0.501474 	 0.022172 	 0.003895 	 0.001744 
32000 	 0.718003 	 0.743117 	 0.751811 	 0.031134 	 0.013891 	 0.002893 
